page,x,y,text
2,84.48,152.90,Ydalir holdeplass ved Kiwi
2,52.80,137.66,Søndre Elverum:
2,128.18,137.66,Stopp rett ved hallen
2,52.80,122.42,Herneshallen:
2,117.48,122.42,Stopp rett ved hallen
2,52.80,107.18,Terningen Arena:
2,129.62,107.18,Stopp rett ved hallen
3,53.04,527.76,Rute 2
3,159.98,527.64,hver halvtime per stoppested
3,449.71,527.64,siste avg søn
3,511.27,527.64,siste avg lør
3,430.25,511.44,:30
3,479.59,511.44,17:00
3,541.15,511.44,19:00
3,53.04,510.96,EUS
3,188.42,510.96,07:00
3,229.94,510.96,07:30
3,273.98,510.96,08:00
3,319.13,510.96,08:30
3,382.13,510.96,:00
3,430.25,494.62,:40
3,53.04,494.14,ELVIS
3,188.42,494.14,07:10
3,229.94,494.14,07:40
3,273.98,494.14,08:10
3,319.13,494.14,08:40
3,382.13,494.14,:10
3,430.25,477.82,:45
3,53.04,477.34,Frydenlund
3,188.42,477.34,07:15
3,229.94,477.34,07:45
3,273.98,477.34,08:15
3,319.13,477.34,08:45
3,382.13,477.34,:15
3,53.04,460.54,Thon Central (lørdag)
3,430.25,444.22,:55
3,53.04,443.74,Terningen Arena
3,188.42,443.74,07:25
3,229.94,443.74,07:55
3,273.98,443.74,08:25
3,319.13,443.74,08:55
3,382.13,443.74,:25
3,430.25,427.42,:00
3,53.04,426.94,Ydalir
3,188.42,426.94,07:30
3,229.94,426.94,08:00
3,273.98,426.94,08:30
3,319.13,426.94,09:00
3,382.13,426.94,:30
3,430.25,410.62,:10
3,53.04,410.14,Herneshallen
3,188.42,410.14,07:40
3,229.94,410.14,08:10
3,273.98,410.14,08:40
3,319.13,410.14,09:10
3,382.13,410.14,:40
3,430.25,393.79,:20
3,53.04,393.31,Ydalir
3,188.42,393.31,07:50
3,229.94,393.31,08:20
3,273.98,393.31,08:50
3,319.13,393.31,09:20
3,382.13,393.31,:50
3,52.92,362.35,Bussene går shuttle fra skolene til konserten i Terningen Arena fra og med kl. 19. Retur fra Terningen Arena til alle skoler fra og med kl. 21.
3,52.92,347.11,Fremvis gyldig deltakerkort eller busskort ved påstigning
3,52.92,331.87,"*Elverumshallen har ikke eget stopp, da hallen ligger rett ved Elverum Ungdomsskole (EUS)"
3,53.16,298.75,Busstopp:
3,52.80,282.65,ELVIS:
3,81.60,282.65,Busstopp ved skolen ca 100m fra hovedinngang til hallen
3,52.80,267.41,Frydenlund:
3,107.40,267.41,Stopp i Frydenlundvegen like ved skolen
3,52.80,252.17,EUS:
3,74.28,252.17,Stopp rett ved skolen. Fra stoppet er det omtrent 100 meter å gå til Elverumshallen
3,52.80,236.93,Ydalir:
3,84.48,236.93,Ydalir holdeplass ved Kiwi
3,52.80,221.69,Søndre Elverum:
3,128.18,221.69,Stopp rett ved hallen
3,52.80,206.45,Herneshallen:
3,117.48,206.45,Stopp rett ved hallen
3,52.80,191.21,Terningen Arena:
3,129.62,191.21,Stopp rett ved hallen
4,53.04,527.76,Rute 3
4,132.26,527.64,hvert 40. minutt per stoppested
4,673.90,527.64,kun lør
4,712.30,527.64,kun lør
4,748.20,527.64,kun lør
4,316.61,511.44,10:20
4,354.05,511.44,11:00
4,423.89,511.44,12:20
4,459.31,511.44,13:00
4,495.67,511.44,13:40
4,531.55,511.44,14:20
4,567.43,511.44,15:00
4,603.82,511.44,15:40
4,640.78,511.44,16:20
4,679.18,511.44,17:00
4,715.06,511.44,17:40
4,752.04,511.44,18:20
4,53.04,510.96,ELVIS
4,137.06,510.96,07:00
4,173.42,510.96,07:40
4,208.82,510.96,08:20
4,243.74,510.96,09:00
4,280.70,510.96,09:40
4,388.97,510.96,11:40
4,316.61,494.62,10:25
4,354.05,494.62,11:05
4,423.89,494.62,12:25
4,459.31,494.62,13:05
4,531.55,494.62,14:25
4,567.43,494.62,15:05
4,640.78,494.62,16:25
4,679.18,494.62,17:05
4,752.04,494.62,18:25
4,53.04,494.14,Frydenlund
4,137.06,494.14,07:05
4,173.42,494.14,07:45
4,208.82,494.14,08:25
4,243.74,494.14,09:05
4,280.70,494.14,09:45
4,388.97,494.14,11:45
4,495.67,494.14,13:45
4,603.82,494.14,15:45
4,715.06,494.14,17:45
4,459.31,477.82,13:05
4,495.67,477.82,13:45
4,531.55,477.82,14:25
4,567.43,477.82,15:05
4,603.82,477.82,15:45
4,640.78,477.82,16:25
4,679.18,477.82,17:05
4,715.06,477.82,17:45
4,53.04,477.34,Thon Central (lørdag)
4,316.61,461.02,10:40
4,354.05,461.02,11:20
4,423.89,461.02,12:40
4,459.31,461.02,13:20
4,531.55,461.02,14:40
4,567.43,461.02,15:20
4,640.78,461.02,16:40
4,679.18,461.02,17:20
4,752.04,461.02,18:40
4,53.04,460.54,Søndre Elv.
4,137.06,460.54,07:20
4,173.42,460.54,08:00
4,208.82,460.54,08:40
4,243.74,460.54,09:20
4,280.70,460.54,10:00
4,388.97,460.54,12:00
4,495.67,460.54,14:00
4,603.82,460.54,16:00
4,715.06,460.54,18:00
4,316.61,444.22,10:55
4,354.05,444.22,11:35
4,423.89,444.22,12:55
4,459.31,444.22,13:35
4,531.55,444.22,14:55
4,567.43,444.22,15:35
4,640.78,444.22,16:55
4,679.18,444.22,17:35
4,752.04,444.22,18:55
4,53.04,443.74,EUS*
4,137.06,443.74,07:35
4,173.42,443.74,08:15
4,208.82,443.74,08:55
4,243.74,443.74,09:35
4,280.70,443.74,10:15
4,388.97,443.74,12:15
4,495.67,443.74,14:15
4,603.82,443.74,16:15
4,715.06,443.74,18:15
4,316.61,427.42,11:05
4,354.05,427.42,11:45
4,423.89,427.42,13:05
4,459.31,427.42,13:45
4,531.55,427.42,15:05
4,567.43,427.42,15:45
4,640.78,427.42,17:05
4,679.18,427.42,17:45
4,752.04,427.42,19:05
4,53.04,426.94,Ydalir
4,137.06,426.94,07:45
4,173.42,426.94,08:25
4,208.82,426.94,09:05
4,243.74,426.94,09:45
4,280.70,426.94,10:25
4,388.97,426.94,12:25
4,495.67,426.94,14:25
4,603.82,426.94,16:25
4,715.06,426.94,18:25
4,316.61,410.62,11:15
4,354.05,410.62,11:55
4,423.89,410.62,13:15
4,459.31,410.62,13:55
4,531.55,410.62,15:15
4,567.43,410.62,15:55
4,640.78,410.62,17:15
4,679.18,410.62,17:55
4,752.04,410.62,19:15
4,53.04,410.14,Herneshallen
4,137.06,410.14,07:55
4,173.42,410.14,08:35
4,208.82,410.14,09:15
4,243.74,410.14,09:55
4,280.70,410.14,10:35
4,388.97,410.14,12:35
4,495.67,410.14,14:35
4,603.82,410.14,16:35
4,715.06,410.14,18:35
4,316.61,393.79,11:25
4,354.05,393.79,12:05
4,423.89,393.79,13:25
4,459.31,393.79,14:05
4,531.55,393.79,15:25
4,567.43,393.79,16:05
4,640.78,393.79,17:25
4,679.18,393.79,18:05
4,752.04,393.79,19:25
4,53.04,393.31,Ydalir
4,137.06,393.31,08:05
4,173.42,393.31,08:45
4,208.82,393.31,09:25
4,243.74,393.31,10:05
4,280.70,393.31,10:45
4,388.97,393.31,12:45
4,495.67,393.31,14:45
4,603.82,393.31,16:45
4,715.06,393.31,18:45
4,316.61,376.99,11:30
4,354.05,376.99,12:10
4,423.89,376.99,13:30
4,459.31,376.99,14:10
4,531.55,376.99,15:30
4,567.43,376.99,16:10
4,640.78,376.99,17:30
4,679.18,376.99,18:10
4,752.04,376.99,19:30
4,53.04,376.51,Terningen A.
4,137.06,376.51,08:10
4,173.42,376.51,08:55
4,208.82,376.51,09:30
4,243.74,376.51,10:10
4,280.70,376.51,10:55
4,388.97,376.51,12:55
4,495.67,376.51,14:55
4,603.82,376.51,16:55
4,715.06,376.51,18:55
4,52.92,345.55,Bussene går shuttle fra skolene til konserten i Terningen Arena fra og med kl. 19. Retur fra Terningen Arena til alle skoler fra og med kl. 21.
4,52.92,330.31,Fremvis gyldig deltakerkort eller busskort ved påstigning
4,52.92,315.07,"*Elverumshallen har ikke eget stopp, da hallen ligger rett ved Elverum Ungdomsskole (EUS)"
4,53.16,281.93,Busstopp:
4,52.80,265.85,ELVIS:
4,81.60,265.85,Busstopp ved skolen ca 100m fra hovedinngang til hallen
4,52.80,250.61,Frydenlund:
4,107.40,250.61,Stopp i Frydenlundvegen like ved skolen
4,52.80,235.37,EUS:
4,74.28,235.37,Stopp rett ved skolen. Fra stoppet er det omtrent 100 meter å gå til Elverumshallen
4,52.80,220.13,Ydalir:
4,84.48,220.13,Ydalir holdeplass ved Kiwi
4,52.80,204.89,Søndre Elverum:
4,128.18,204.89,Stopp rett ved hallen
4,52.80,189.65,Herneshallen:
4,117.48,189.65,Stopp rett ved hallen
4,52.80,174.38,Terningen Arena:
4,129.62,174.38,Stopp rett ved hallen
