club,raw_label,division_key,headcount,school,rooms,schedule_team,games
HK Vestre Toten,J2015,J2015,6,ELVIS,C110,HK Vestre Toten,"Elverum Yngres Cup - Jenter 9 år - 01|09:35|Elverumshallen - Kortbane|Rena IL 2,Elverum Yngres Cup - Jenter 10 år - 03|13:23|Herneshallen - Kortbane|Elverum 3,Elverum Yngres Cup - Jenter 9 år - 01|14:20|Herneshallen - Kortbane|Elverum,Elverum Yngres Cup - Jenter 10 år - 03|10:51|Herneshallen - Kortbane|Hasle-Løren Rød,Elverum Yngres Cup - Jenter 9 år - 01|13:04|Herneshallen - Kortbane|Storhamar blå,Elverum Yngres Cup - Jenter 10 år - 03|08:00|Ydalir skole idrettshall - Kortbane|Lisleby Gul,Elverum Yngres Cup - Jenter 9 år - 01|10:32|Søndre Elverum Idrettshall - Kortbane|Furnes 2,Elverum Yngres Cup - Jenter 10 år - 03|12:45|Søndre Elverum Idrettshall - Kortbane|Sverresborg"
Hasle/Løren,G2012,G2012,16,ELVERUM UNGDOMSSKOLE,B104,Hasle-Løren Rød,"Elverum Yngres Cup - Jenter 9 år - 03|11:48|Elverumshallen - Kortbane|Skarnes,Elverum Yngres Cup - Gutter 10 år - 01|12:26|Elverumshallen - Kortbane|Sverresborg,Elverum Yngres Cup - Gutter 12 år - 01|12:05|Elverumshallen|Gjøvik HK,Elverum Yngres Cup - Jenter 12 år - 02|15:34|Elverumshallen|Varde,Elverum Yngres Cup - Gutter 12 år - 01|18:57|Elvishallen|Elverum,Elverum Yngres Cup - Gutter 12 år - 01|15:51|Elvishallen|Ottestad 2,Elverum Yngres Cup - Gutter 12 år - 01|15:21|Elvishallen|Heradsbygda,Elverum Yngres Cup - Jenter 12 år - 02|12:26|Terningen Arena|Storhamar 2,Elverum Yngres Cup - Gutter 10 år - 01|09:35|Herneshallen - Kortbane|Elverum,Elverum Yngres Cup - Jenter 10 år - 03|13:42|Herneshallen - Kortbane|Sverresborg,Elverum Yngres Cup - Jenter 9 år - 03|16:33|Herneshallen - Kortbane|Røros 3,Elverum Yngres Cup - Jenter 10 år - 03|10:51|Herneshallen - Kortbane|HK Vestre Toten,Elverum Yngres Cup - Jenter 9 år - 03|11:29|Herneshallen - Kortbane|Vaaler,Elverum Yngres Cup - Jenter 10 år - 03|08:19|Ydalir skole idrettshall - Kortbane|Elverum 3,Elverum Yngres Cup - Jenter 12 år - 02|08:57|Ydalir skole idrettshall|Gjøvik HK 2,Elverum Yngres Cup - Gutter 10 år - 01|10:32|Ydalir skole idrettshall - Kortbane|Furnes,Elverum Yngres Cup - Jenter 12 år - 02|08:23|Søndre Elverum Idrettshall|Lensbygda,Elverum Yngres Cup - Jenter 9 år - 03|08:38|Søndre Elverum Idrettshall - Kortbane|Rena IL,Elverum Yngres Cup - Jenter 10 år - 03|12:07|Søndre Elverum Idrettshall - Kortbane|Trysil IL,Elverum Yngres Cup - Gutter 10 år - 01|14:01|Søndre Elverum Idrettshall - Kortbane|Røros 2"
Hasle/Løren,G2013,G2013,12,ELVERUM UNGDOMSSKOLE,B105,Hasle-Løren Blå,"Elverum Yngres Cup - Jenter 10 år - 01|08:00|Elverumshallen - Kortbane|HK Vestre Toten 2,Elverum Yngres Cup - Jenter 10 år - 01|14:39|Elverumshallen - Kortbane|Sverresborg 3,Elverum Yngres Cup - Gutter 10 år - 02|16:14|Elverumshallen - Kortbane|Elverum 3,Elverum Yngres Cup - Jenter 11 år - 02|11:52|Elvishallen|Røros 2,Elverum Yngres Cup - Gutter 11 år|13:46|Elvishallen|Elverum,Elverum Yngres Cup - Jenter 12 år - 03|14:05|Elvishallen|Elverum 2,Elverum Yngres Cup - Gutter 11 år|08:19|Terningen Arena|Ring IL,Elverum Yngres Cup - Jenter 11 år - 02|09:54|Terningen Arena|Tune Rød,Elverum Yngres Cup - Jenter 12 år - 03|13:23|Terningen Arena|Storhamar,Elverum Yngres Cup - Gutter 11 år|11:07|Terningen Arena|Utleira,Elverum Yngres Cup - Gutter 10 år - 02|11:29|Herneshallen - Kortbane|Røros,Elverum Yngres Cup - Jenter 10 år - 01|08:57|Herneshallen - Kortbane|Elverum,Elverum Yngres Cup - Jenter 11 år - 02|14:58|Herneshallen|Gjøvik HK,Elverum Yngres Cup - Gutter 11 år|11:29|Ydalir skole idrettshall|Drøbak/Frogn Blå,Elverum Yngres Cup - Jenter 11 år - 02|13:42|Ydalir skole idrettshall|Tydal,Elverum Yngres Cup - Jenter 12 år - 03|08:19|Ydalir skole idrettshall|Trysil,Elverum Yngres Cup - Gutter 10 år - 02|12:45|Ydalir skole idrettshall - Kortbane|Sverresborg 2,Elverum Yngres Cup - Gutter 10 år - 02|15:17|Ydalir skole idrettshall - Kortbane|Furnes 2,Elverum Yngres Cup - Jenter 12 år - 03|09:55|Søndre Elverum Idrettshall|Jotun 2,Elverum Yngres Cup - Jenter 10 år - 01|11:10|Søndre Elverum Idrettshall - Kortbane|Flisa"
Hasle/Løren,G2014,G2014,16,ELVERUM UNGDOMSSKOLE,B106,Hasle-Løren Blå,"Elverum Yngres Cup - Jenter 10 år - 01|08:00|Elverumshallen - Kortbane|HK Vestre Toten 2,Elverum Yngres Cup - Jenter 10 år - 01|14:39|Elverumshallen - Kortbane|Sverresborg 3,Elverum Yngres Cup - Gutter 10 år - 02|16:14|Elverumshallen - Kortbane|Elverum 3,Elverum Yngres Cup - Jenter 11 år - 02|11:52|Elvishallen|Røros 2,Elverum Yngres Cup - Gutter 11 år|13:46|Elvishallen|Elverum,Elverum Yngres Cup - Jenter 12 år - 03|14:05|Elvishallen|Elverum 2,Elverum Yngres Cup - Gutter 11 år|08:19|Terningen Arena|Ring IL,Elverum Yngres Cup - Jenter 11 år - 02|09:54|Terningen Arena|Tune Rød,Elverum Yngres Cup - Jenter 12 år - 03|13:23|Terningen Arena|Storhamar,Elverum Yngres Cup - Gutter 11 år|11:07|Terningen Arena|Utleira,Elverum Yngres Cup - Gutter 10 år - 02|11:29|Herneshallen - Kortbane|Røros,Elverum Yngres Cup - Jenter 10 år - 01|08:57|Herneshallen - Kortbane|Elverum,Elverum Yngres Cup - Jenter 11 år - 02|14:58|Herneshallen|Gjøvik HK,Elverum Yngres Cup - Gutter 11 år|11:29|Ydalir skole idrettshall|Drøbak/Frogn Blå,Elverum Yngres Cup - Jenter 11 år - 02|13:42|Ydalir skole idrettshall|Tydal,Elverum Yngres Cup - Jenter 12 år - 03|08:19|Ydalir skole idrettshall|Trysil,Elverum Yngres Cup - Gutter 10 år - 02|12:45|Ydalir skole idrettshall - Kortbane|Sverresborg 2,Elverum Yngres Cup - Gutter 10 år - 02|15:17|Ydalir skole idrettshall - Kortbane|Furnes 2,Elverum Yngres Cup - Jenter 12 år - 03|09:55|Søndre Elverum Idrettshall|Jotun 2,Elverum Yngres Cup - Jenter 10 år - 01|11:10|Søndre Elverum Idrettshall - Kortbane|Flisa"
Hasle/Løren,G2015,G2015,29,ELVERUM UNGDOMSSKOLE,"B205,B206",Hasle-Løren Gul,"Elverum Yngres Cup - Jenter 9 år - 02|10:51|Elverumshallen - Kortbane|Skarnes 2,Elverum Yngres Cup - Gutter 9 år|13:42|Elverumshallen - Kortbane|Elverum 3,Elverum Yngres Cup - Gutter 10 år - 02|15:55|Elverumshallen - Kortbane|Furnes 2,Elverum Yngres Cup - Jenter 12 år - 01|13:40|Elverumshallen|Gjøvik HK,Elverum Yngres Cup - Jenter 12 år - 01|14:56|Elverumshallen|Varde 2,Elverum Yngres Cup - Jenter 12 år - 01|08:19|Elvishallen|Ring IL,Elverum Yngres Cup - Jenter 12 år - 01|12:07|Terningen Arena|Koppang Håndballklubb 2,Elverum Yngres Cup - Gutter 9 år|08:57|Herneshallen - Kortbane|Elverum,Elverum Yngres Cup - Gutter 10 år - 02|11:10|Herneshallen - Kortbane|Rena IL,Elverum Yngres Cup - Jenter 9 år - 02|15:36|Herneshallen - Kortbane|Storhamar gul,Elverum Yngres Cup - Jenter 9 år - 02|12:45|Herneshallen - Kortbane|Røros 2,Elverum Yngres Cup - Gutter 9 år|11:48|Ydalir skole idrettshall - Kortbane|Elverum 2,Elverum Yngres Cup - Gutter 10 år - 02|13:04|Ydalir skole idrettshall - Kortbane|Vang,Elverum Yngres Cup - Gutter 9 år|14:39|Ydalir skole idrettshall - Kortbane|Ring IL,Elverum Yngres Cup - Gutter 10 år - 02|14:58|Ydalir skole idrettshall - Kortbane|Elverum 3,Elverum Yngres Cup - Jenter 9 år - 02|09:35|Søndre Elverum Idrettshall - Kortbane|Lensbygda"
Hasle/Løren,J2011,J2011,28,ELVERUM UNGDOMSSKOLE,"B203,B204",Hasle-Løren,"Elverum Yngres Cup - Jenter 13 år - 02|20:48|Elvishallen|Borgen,Elverum Yngres Cup - Jenter 13 år - 02|09:20|Elvishallen|Utleira 2,Elverum Yngres Cup - Jenter 13 år - 02|11:38|Elvishallen|Sverresborg,Elverum Yngres Cup J13 A-sluttspill|10:21|Terningen Arena|Bøler,Elverum Yngres Cup - Jenter 13 år - 02|13:32|Søndre Elverum Idrettshall|Jømna/Heradsbygd"
Hasle/Løren,J2012,J2012,42,ELVERUM UNGDOMSSKOLE,"E106,E108,E206",Hasle-Løren Blå,"Elverum Yngres Cup - Jenter 10 år - 01|08:00|Elverumshallen - Kortbane|HK Vestre Toten 2,Elverum Yngres Cup - Jenter 10 år - 01|14:39|Elverumshallen - Kortbane|Sverresborg 3,Elverum Yngres Cup - Gutter 10 år - 02|16:14|Elverumshallen - Kortbane|Elverum 3,Elverum Yngres Cup - Jenter 11 år - 02|11:52|Elvishallen|Røros 2,Elverum Yngres Cup - Gutter 11 år|13:46|Elvishallen|Elverum,Elverum Yngres Cup - Jenter 12 år - 03|14:05|Elvishallen|Elverum 2,Elverum Yngres Cup - Gutter 11 år|08:19|Terningen Arena|Ring IL,Elverum Yngres Cup - Jenter 11 år - 02|09:54|Terningen Arena|Tune Rød,Elverum Yngres Cup - Jenter 12 år - 03|13:23|Terningen Arena|Storhamar,Elverum Yngres Cup - Gutter 11 år|11:07|Terningen Arena|Utleira,Elverum Yngres Cup - Gutter 10 år - 02|11:29|Herneshallen - Kortbane|Røros,Elverum Yngres Cup - Jenter 10 år - 01|08:57|Herneshallen - Kortbane|Elverum,Elverum Yngres Cup - Jenter 11 år - 02|14:58|Herneshallen|Gjøvik HK,Elverum Yngres Cup - Gutter 11 år|11:29|Ydalir skole idrettshall|Drøbak/Frogn Blå,Elverum Yngres Cup - Jenter 11 år - 02|13:42|Ydalir skole idrettshall|Tydal,Elverum Yngres Cup - Jenter 12 år - 03|08:19|Ydalir skole idrettshall|Trysil,Elverum Yngres Cup - Gutter 10 år - 02|12:45|Ydalir skole idrettshall - Kortbane|Sverresborg 2,Elverum Yngres Cup - Gutter 10 år - 02|15:17|Ydalir skole idrettshall - Kortbane|Furnes 2,Elverum Yngres Cup - Jenter 12 år - 03|09:55|Søndre Elverum Idrettshall|Jotun 2,Elverum Yngres Cup - Jenter 10 år - 01|11:10|Søndre Elverum Idrettshall - Kortbane|Flisa"
Hasle/Løren,J2013,J2013,11,ELVERUM UNGDOMSSKOLE,B207,Hasle-Løren Blå,"Elverum Yngres Cup - Jenter 10 år - 01|08:00|Elverumshallen - Kortbane|HK Vestre Toten 2,Elverum Yngres Cup - Jenter 10 år - 01|14:39|Elverumshallen - Kortbane|Sverresborg 3,Elverum Yngres Cup - Gutter 10 år - 02|16:14|Elverumshallen - Kortbane|Elverum 3,Elverum Yngres Cup - Jenter 11 år - 02|11:52|Elvishallen|Røros 2,Elverum Yngres Cup - Gutter 11 år|13:46|Elvishallen|Elverum,Elverum Yngres Cup - Jenter 12 år - 03|14:05|Elvishallen|Elverum 2,Elverum Yngres Cup - Gutter 11 år|08:19|Terningen Arena|Ring IL,Elverum Yngres Cup - Jenter 11 år - 02|09:54|Terningen Arena|Tune Rød,Elverum Yngres Cup - Jenter 12 år - 03|13:23|Terningen Arena|Storhamar,Elverum Yngres Cup - Gutter 11 år|11:07|Terningen Arena|Utleira,Elverum Yngres Cup - Gutter 10 år - 02|11:29|Herneshallen - Kortbane|Røros,Elverum Yngres Cup - Jenter 10 år - 01|08:57|Herneshallen - Kortbane|Elverum,Elverum Yngres Cup - Jenter 11 år - 02|14:58|Herneshallen|Gjøvik HK,Elverum Yngres Cup - Gutter 11 år|11:29|Ydalir skole idrettshall|Drøbak/Frogn Blå,Elverum Yngres Cup - Jenter 11 år - 02|13:42|Ydalir skole idrettshall|Tydal,Elverum Yngres Cup - Jenter 12 år - 03|08:19|Ydalir skole idrettshall|Trysil,Elverum Yngres Cup - Gutter 10 år - 02|12:45|Ydalir skole idrettshall - Kortbane|Sverresborg 2,Elverum Yngres Cup - Gutter 10 år - 02|15:17|Ydalir skole idrettshall - Kortbane|Furnes 2,Elverum Yngres Cup - Jenter 12 år - 03|09:55|Søndre Elverum Idrettshall|Jotun 2,Elverum Yngres Cup - Jenter 10 år - 01|11:10|Søndre Elverum Idrettshall - Kortbane|Flisa"
Hasle/Løren,J2014,J2014,21,ELVERUM UNGDOMSSKOLE,B201,Hasle-Løren Blå,"Elverum Yngres Cup - Jenter 10 år - 01|08:00|Elverumshallen - Kortbane|HK Vestre Toten 2,Elverum Yngres Cup - Jenter 10 år - 01|14:39|Elverumshallen - Kortbane|Sverresborg 3,Elverum Yngres Cup - Gutter 10 år - 02|16:14|Elverumshallen - Kortbane|Elverum 3,Elverum Yngres Cup - Jenter 11 år - 02|11:52|Elvishallen|Røros 2,Elverum Yngres Cup - Gutter 11 år|13:46|Elvishallen|Elverum,Elverum Yngres Cup - Jenter 12 år - 03|14:05|Elvishallen|Elverum 2,Elverum Yngres Cup - Gutter 11 år|08:19|Terningen Arena|Ring IL,Elverum Yngres Cup - Jenter 11 år - 02|09:54|Terningen Arena|Tune Rød,Elverum Yngres Cup - Jenter 12 år - 03|13:23|Terningen Arena|Storhamar,Elverum Yngres Cup - Gutter 11 år|11:07|Terningen Arena|Utleira,Elverum Yngres Cup - Gutter 10 år - 02|11:29|Herneshallen - Kortbane|Røros,Elverum Yngres Cup - Jenter 10 år - 01|08:57|Herneshallen - Kortbane|Elverum,Elverum Yngres Cup - Jenter 11 år - 02|14:58|Herneshallen|Gjøvik HK,Elverum Yngres Cup - Gutter 11 år|11:29|Ydalir skole idrettshall|Drøbak/Frogn Blå,Elverum Yngres Cup - Jenter 11 år - 02|13:42|Ydalir skole idrettshall|Tydal,Elverum Yngres Cup - Jenter 12 år - 03|08:19|Ydalir skole idrettshall|Trysil,Elverum Yngres Cup - Gutter 10 år - 02|12:45|Ydalir skole idrettshall - Kortbane|Sverresborg 2,Elverum Yngres Cup - Gutter 10 år - 02|15:17|Ydalir skole idrettshall - Kortbane|Furnes 2,Elverum Yngres Cup - Jenter 12 år - 03|09:55|Søndre Elverum Idrettshall|Jotun 2,Elverum Yngres Cup - Jenter 10 år - 01|11:10|Søndre Elverum Idrettshall - Kortbane|Flisa"
Heradsbygda HK,G2012,G2012,11,ELVIS,C220,Heradsbygda,"Elverum Yngres Cup - Gutter 12 år - 01|11:46|Elverumshallen|Ottestad 2,Elverum Yngres Cup - Gutter 12 år - 01|18:09|Elvishallen|Sverresborg 2,Elverum Yngres Cup - Jenter 12 år - 03|14:43|Elvishallen|Storhamar,Elverum Yngres Cup - Gutter 12 år - 01|15:21|Elvishallen|Hasle-Løren Rød,Elverum Yngres Cup - Jenter 12 år - 03|14:01|Terningen Arena|Trysil,Elverum Yngres Cup - Gutter 12 år - 01|09:16|Ydalir skole idrettshall|Elverum,Elverum Yngres Cup - Jenter 12 år - 03|08:38|Ydalir skole idrettshall|Ottestad,Elverum Yngres Cup - Jenter 12 år - 03|08:46|Søndre Elverum Idrettshall|Elverum 2"
